element real noiseless noisy2 noisy5
1 1750000	1750000	1698550	1683850
2 1487500	1487500	1504125	1505875
3 1750000	1749650	1742475	1714650
4 1662500	1660575	1596525	1513750
5 1750000	1750000	1750000	1750000
6 1750000	1750000	1684725	1592325
7 1225000	1224475	1224475	1228325
8 1237440	1237316.256	1237440	1237440
9 1750000	1747025	1636250	1750000
10 1113696	1113819.744	1102930.272	1105652.64
11 1750000	1750000	1750000	1750000
12 989952	990075.744	967801.824	928574.976
